AÑO;SEMANA;BLOQUE;CAMA;CAMAS SEMBRADAS BLOQUE;NO. HALLAZGOS;NO. PLANTAS;EDAD;ETAPA FENOLÓGICA;% INCIDENCIA;CUADRO;LINEA;VARIEDAD
2022;6;27;25A;88;40;;7;DESBOTON;0,0%;4, 5;;BACANO
2022;8;27;24A;88;2;;9;FLOR;0,0%;2;;BACANO
2022;17;49;14A;84;8;;7;DESBOTON;0,0%;2;;BACANO
2022;17;49;13A;84;5;;7;DESBOTON;0,0%;3;;BACANO
2022;19;11;91B;180;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;19;4;48A;104;1;;;VEGETATIVO;0,0%;;;MAISY
2022;19;14;02B;212;2;;;VEGETATIVO;0,0%;;;DESNA DARK
2022;19;14;98B;212;2;;;VEGETATIVO;0,0%;;;MONTES
2022;19;11;92B;180;2;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;19;30;20B;96;1;;;VEGETATIVO;0,0%;;;ARTIC QUEEN
2022;19;30;26A;96;53;;;VEGETATIVO;0,0%;;;BACANO
2022;20;11;87A;180;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;20;30;26A;96;10;;;VEGETATIVO;0,0%;;;BACANO
2022;20;30;26A;96;43;;;VEGETATIVO;0,0%;;;BACANO
2022;20;30;19B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;20;11;87A;180;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;21;11;88A;180;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;21;11;91B;180;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;22;23;14A;96;1;;;VEGETATIVO;0,0%;;;VERONICA
2022;23;30;27A;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;23;4;46A;104;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;23;38;42B;96;1;;;VEGETATIVO;0,0%;;;ALEMANI
2022;23;16;07A;136;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;23;16;07A;136;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;23;12;84B;192;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;23;16;07A;136;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;23;16;07A;136;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;23;12;83B;192;4;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;23;12;82B;192;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;23;12;83B;192;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;23;12;84B;192;2;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;24;38;42B;96;1;;;VEGETATIVO;0,0%;;;ALEMANI
2022;24;3;32B;112;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;24;38;44B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;25;23;15B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;25;23;01B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;25;23;01B;96;1;;;VEGETATIVO;0,0%;;;CELEBRATE
2022;25;23;26B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;25;23;02B;96;49;;;VEGETATIVO;0,0%;;;SHORTCAKE
2022;25;23;01B;96;9;;;VEGETATIVO;0,0%;;;BACANO
2022;25;23;02B;96;1;;;VEGETATIVO;0,0%;;;SHORTCAKE
2022;25;23;15B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;25;28;63A;140;2;;;VEGETATIVO;0,0%;;;MAISY
2022;25;28;63A;140;1;;;VEGETATIVO;0,0%;;;MAISY
2022;25;23;14B;96;106;;;VEGETATIVO;0,0%;;;BACANO
2022;25;23;15B;96;36;;;VEGETATIVO;0,0%;;;BACANO
2022;25;23;14B;96;2;;;VEGETATIVO;0,0%;;;BACANO
2022;25;23;15B;96;3;;;VEGETATIVO;0,0%;;;BACANO
2022;25;23;01B;96;2;;;VEGETATIVO;0,0%;;;BACANO
2022;25;22;22A;128;4;;;VEGETATIVO;0,0%;;;BACANO
2022;25;14;03A;212;4;;;VEGETATIVO;0,0%;;;BACANO
2022;25;10;02B;172;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;25;23;15B;96;2;;;VEGETATIVO;0,0%;;;BACANO
2022;25;22;23A;128;2;;;VEGETATIVO;0,0%;;;BACANO
2022;25;38;43B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;25;22;23A;128;4;;;VEGETATIVO;0,0%;;;BACANO
2022;26;23;15B;96;5;;;VEGETATIVO;0,0%;;;BACANO
2022;26;22;23A;128;2;;;VEGETATIVO;0,0%;;;BACANO
2022;26;23;02B;96;2;;;VEGETATIVO;0,0%;;;SHORTCAKE
2022;26;23;63A;96;1;;;VEGETATIVO;0,0%;;;MAISY
2022;26;23;01B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;26;22;23A;128;2;;;VEGETATIVO;0,0%;;;BACANO
2022;26;19;05B;96;1;;;VEGETATIVO;0,0%;;;DESNA DARK
2022;26;6;22A;115;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;26;23;15B;96;11;;;VEGETATIVO;0,0%;;;BACANO
2022;26;23;01A;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;26;23;23B;96;1;;;VEGETATIVO;0,0%;;;ZUMBA
2022;26;50;20A;96;1;;;VEGETATIVO;0,0%;;;CELEBRATE
2022;26;50;41A;96;6;;;VEGETATIVO;0,0%;;;SHORTCAKE
2022;26;28;62A;140;1;;;VEGETATIVO;0,0%;;;BACANO
2022;26;32;13B;48;1;;;VEGETATIVO;0,0%;;;SOLEADO
2022;26;50;38A;96;1;;;VEGETATIVO;0,0%;;;SOLEADO
2022;27;23;01B;96;2;;;VEGETATIVO;0,0%;;;BACANO
2022;27;23;02B;96;3;;;VEGETATIVO;0,0%;;;SHORTCAKE
2022;27;50;41A;96;1;;;VEGETATIVO;0,0%;;;SHORTCAKE
2022;27;28;63A;140;1;;;VEGETATIVO;0,0%;;;MAISY
2022;27;23;20B;96;3;;;VEGETATIVO;0,0%;;;SHORTCAKE
2022;27;11;22A;180;1;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;27;28;03A;140;4;;;VEGETATIVO;0,0%;;;BACANO
2022;27;28;03A;140;125;;;VEGETATIVO;0,0%;;;BACANO
2022;27;28;04A;140;14;;;VEGETATIVO;0,0%;;;BACANO
2022;27;28;04A;140;14;;;VEGETATIVO;0,0%;;;BACANO
2022;27;28;04B;140;30;;;VEGETATIVO;0,0%;;;BACANO
2022;27;23;06A;96;1;;;VEGETATIVO;0,0%;;;ALMA
2022;27;23;18A;96;1;;;VEGETATIVO;0,0%;;;CELEBRATE
2022;27;23;20B;96;4;;;VEGETATIVO;0,0%;;;SHORTCAKE
2022;27;22;22A;128;1;;;VEGETATIVO;0,0%;;;CELEBRATE
2022;27;23;28B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;27;31;35A;96;0;;;VEGETATIVO;0,0%;;;BACANO
2022;28;50;13B;96;1;;;VEGETATIVO;0,0%;;;MAISY
2022;28;22;22A;128;1;;;VEGETATIVO;0,0%;;;BACANO
2022;28;23;21B;96;1;;;VEGETATIVO;0,0%;;;MAISY
2022;28;23;21B;96;1;;;VEGETATIVO;0,0%;;;MAISY
2022;28;23;33A;96;1;;;VEGETATIVO;0,0%;;;CHAMPAGNE YELLOW
2022;28;23;45B;96;1;;;VEGETATIVO;0,0%;;;ALEMANI
2022;28;23;07B;96;1;;;VEGETATIVO;0,0%;;;MARK TWAIN
2022;28;23;21B;96;3;;;VEGETATIVO;0,0%;;;MAISY
2022;28;23;22B;96;2;;;VEGETATIVO;0,0%;;;MAISY
2022;28;23;02A;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;28;33;30A;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;28;23;33A;96;2;;;VEGETATIVO;0,0%;;;CHAMPAGNE YELLOW
2022;28;50;16B;96;15;;;VEGETATIVO;0,0%;;;ALEMANI
2022;28;50;16B;96;1;;;VEGETATIVO;0,0%;;;ALEMANI
2022;28;23;02B;96;1;;;VEGETATIVO;0,0%;;;BACANO
2022;28;50;75A;96;1;;;VEGETATIVO;0,0%;;;SHORTCAKE
2022;28;23;07B;96;1;;;VEGETATIVO;0,0%;;;MARK TWAIN
2022;28;23;08B;96;1;;;VEGETATIVO;0,0%;;;MARK TWAIN
2022;28;22;12B;128;40;;;VEGETATIVO;0,0%;2, 3, 7;;BACANO
2022;28;10;01B;172;3;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;28;10;06B;172;4;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;28;10;07B;172;2;;;VEGETATIVO;0,0%;;;TOPSPIN
2022;28;23;31A;96;1;;;VEGETATIVO;0,0%;;;RIBBON
2022;28;10;06B;172;1;;;VEGETATIVO;0,0%;4;;TOPSPIN
2022;29;50;16B;96;1;;12;FLOR;0,0%;1, 2;;ALEMANI
2022;29;16;14B;136;1;;3;VEGETATIVO;0,0%;5;;TOPSPIN
2022;29;16;15B;136;1;;3;VEGETATIVO;0,0%;5;;TOPSPIN
2022;29;42;11B;76;5;;9;FLOR;0,0%;5;;MONTES
2022;29;42;11B;76;3;;9;FLOR;0,0%;5;;MONTES
2022;29;50;13B;96;10;;12;FLOR;0,0%;4;;TOPSPIN
2022;29;23;07B;96;4;;12;FLOR;0,0%;7;;MARK TWAIN
2022;29;23;07B;96;5;;12;FLOR;0,0%;6;;MARK TWAIN
2022;29;23;08B;96;5;;12;FLOR;0,0%;6;;MARK TWAIN
2022;29;16;14B;136;2;;3;VEGETATIVO;0,0%;5;;TOPSPIN
